2026-06-08 00:23:18 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 00:23:18 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 00:23:23 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 00:23:23 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 00:23:28 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 00:23:28 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 00:23:38 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 00:23:38 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 00:27:26 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-08 00:27:34 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 00:27:48 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 00:30:31 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-08 00:30:41 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 00:31:04 | KEY_REVOKED          | central_menu    | cp_id=ALC1
2026-06-08 00:31:47 | CHARGE_END           | ALC1            | driver=ALC1 kwh=10.00 cost=6.00
2026-06-08 00:32:32 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 00:37:45 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-08 00:37:56 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 00:38:08 | KEY_REVOKED          | central_menu    | cp_id=ALC1
2026-06-08 00:43:05 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-08 00:43:11 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 00:43:24 | KEY_REVOKED          | central_menu    | cp_id=ALC1
2026-06-08 00:44:02 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 00:44:07 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 00:44:12 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 01:03:46 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 01:05:40 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 01:06:38 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 01:06:38 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 01:08:40 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-08 01:08:47 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 01:09:07 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 01:09:20 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 01:10:41 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-08 01:10:47 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 01:11:19 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-08 01:13:25 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-08 01:15:03 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-08 01:15:05 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-08 01:15:07 | CHARGE_END           | ALC1            | driver=Driver1 kwh=10.00 cost=6.00
2026-06-12 21:24:26 | SYSTEM_START         | central         | port=5000 broker=localhost:9092
2026-06-12 21:25:50 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
2026-06-12 21:26:42 | CHARGE_INTERRUPTED   | ALC1            | driver=Driver1 kwh=7.00 cost=4.20
2026-06-12 21:33:24 | CP_DISCONNECTED      | ALC1            | Monitor desconectado
2026-06-12 21:33:26 | AUTH_SUCCESS         | 127.0.0.1       | cp_id=ALC1 user=cp_ALC1
